AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc, rawrap
105222,0.887917,34.204723,0.25,0.18,17.8,0,0,0,7500,0,0,0,78,7500,0.887917
100016,0.893333,22.082224,0.6,0.4,16.5,0,1.59,2.3,7517,306,5,8.8,75,7517,0.893333
14,0.89625,23.200279,1.9,1,14,7301,6.55,2.5,7247,350,4,31.3,75,7247,0.89625
104680,0.907917,20.456667,0.8,0.4,16.5,0,2.5,2.4,17349,332,9,12.6,75,17349,0.907917
102898,0.93375,28.555832,0.6,0.2,16.2,0,2.94,2.2,7945,256,3,18.5,75,7945,0.93375
100783,0.947917,31.343613,0.2,0.16,16.9,0,0.7,2.2,5011,102,9,7.2,75,5011,0.947917
104212,0.96,33.655834,0.8,0.6,18,0,2.58,2.4,6356,111,2,22.7,75,6356,0.96
102736,0.967083,30.27861,0.3,0.3,16,0,1,2.1,2936,64,5,13,75,2936,0.967083
19,0.995833,20.751944,4,1.1,12.7,2309,18.94,6.9,2310,388,5,11.4,63,2310,0.995833
104295,0.9975,34.638336,0.3,0.25,18.2,0,0,0,5100,0,0,0,78,5100,0.9975
24,1.06125,22.587778,1.2,0.8,15.4,4442,5.17,2.4,4446,179,3,35.5,75,4446,1.06125
104524,1.069167,35.473057,0.5,0.45,17.5,0,0.53,2.1,12210,74,6,6.5,75,12210,1.069167
26,1.102083,31.471945,2,1.8,14.3,4953,10.19,2.3,4955,245,2,62.3,75,4955,1.102083
102899,1.105,28.484722,0.7,0.5,15.8,0,3.03,2.4,11982,314,8,15.6,75,11982,1.105
100023,1.110833,27.966946,0.6,0.25,15.7,8872,0,0,0,0,0,0,0,8872,1.110833
100864,1.11125,47.490002,1.2,0.5,15.1,5276,0,0,0,0,0,0,0,5276,1.11125
100022,1.11375,22.349167,1,0.45,16,6494,1.83,2.5,6498,198,4,11.4,75,6498,1.11375
105512,1.11875,28.309721,0.25,0.15,17,8465,0,0,0,0,0,0,0,8465,1.11875
101831,1.129583,20.717779,0.5,0.35,16.6,0,2.65,2.9,2174,85,2,22.4,75,2174,1.129583
30,1.13625,33.559166,1.2,0.15,16,4760,2.58,3.1,4766,235,4,12,75,4766,1.13625
29,1.140833,28.301111,1.3,1.2,15.2,8785,0,0,0,0,0,0,0,8785,1.140833
100784,1.145833,31.713335,0.58,0.4,16.5,4845,1.47,2.3,4841,109,5,13.6,75,4841,1.145833
104296,1.160833,33.429447,0.25,0.15,18.2,0,0,0,10400,0,0,0,78,10400,1.160833
102900,1.163333,29.59889,0.5,0.4,16.8,0,0.96,1.9,12138,133,4,9.8,75,12138,1.163333
100025,1.185833,26.8325,0.55,0.55,14.6,7569,1.05,2.1,7556,134,15,9.8,75,7556,1.185833
104297,1.203333,33.299999,0.5,0.35,17,0,1.23,2.7,10370,196,35,7.2,75,10370,1.203333
104525,1.204167,34.778889,0.5,0.4,17,0,2.19,2.4,12176,119,10,18.7,75,12176,1.204167
102737,1.219167,29.879723,0.2,0.15,16,0,1.21,2.3,12076,214,5,7.8,75,12076,1.219167
102572,1.221667,28.083612,0.4,0.3,16,0,1.79,2.3,10988,140,15,15,75,10988,1.221667
100029,1.250833,22.132223,0.6,0.4,15.6,6472,0,0,0,0,0,0,0,6472,1.250833
102738,1.260833,30.088612,0.2,0.1,16.5,0,1.22,2.5,9119,127,25,9.9,75,9119,1.260833
102243,1.270833,23.969723,0.6,0.5,17,0,3.06,2.2,6577,144,5,26.5,75,6577,1.270833
102739,1.275833,31.094168,0.2,0.12,16.5,0,1.21,2.2,12168,277,42,7.6,75,12168,1.275833
102740,1.276667,29.963612,0.4,0.25,16.5,0,0.98,2.2,4883,144,6,8.3,75,4883,1.276667
100030,1.276667,22.189165,0.4,0.3,15.7,14451,1.24,0.7,14447,619,45,3.8,52,14447,1.276667
104298,1.290417,33.216946,0.22,0.17,18.2,0,0.98,2.1,4865,73,11,12.2,75,4865,1.290417
101688,1.307083,28.884445,0.2,0.16,18.7,8361,0,0,0,0,0,0,0,8361,1.307083
104733,1.3125,24.782778,0.25,0.2,18,0,0,0,11000,0,0,0,78,11000,1.3125
102554,1.31375,27.489723,0.3,0.2,17,0,1.68,2.2,11854,232,27,11,75,11854,1.31375
100032,1.3275,32.977501,0.6,0.4,16.1,10458,0,0,0,0,0,0,0,10458,1.3275
102555,1.33,26.519444,0.3,0.2,17,0,0.72,1.9,7432,140,33,7,75,7432,1.33
100033,1.334167,32.986946,0.7,0.2,16.1,10458,0,0,0,0,0,0,0,10458,1.334167
102901,1.34875,29.726946,0.2,0.2,17.4,0,0.58,2.2,6629,79,7,6.7,75,6629,1.34875
100865,1.366667,46.54361,0.5,0.4,15.3,4971,0,0,0,0,0,0,0,4971,1.366667
102741,1.371667,31.861944,0.18,0.1,17.5,0,0.5,2.1,5024,65,7,6.5,75,5024,1.371667
100035,1.371667,32.526112,0.85,0.85,15,10399,1.48,2.3,10417,124,20,12.7,75,10417,1.371667
101808,1.371667,20.226667,0.3,0.2,17,1950,0.81,2.5,1952,74,5,8.4,75,1952,1.371667
101201,1.408333,22.282223,0.35,0.19,16.5,6715,0,0,6700,0,0,0,78,6700,1.408333
104681,1.421667,20.478889,0.6,0.5,17,0,0.99,2.3,6373,86,3,10.2,75,6373,1.421667
40,1.451667,27.448889,1.2,0.7,15.2,7531,2.52,2.2,7522,388,2,12.8,75,7522,1.451667
104299,1.462917,31.461945,0.22,0.15,18.5,0,0,0,5000,0,0,0,78,5000,1.462917
100796,1.467917,22.535555,0.6,0.2,16,6644,0,0,0,0,0,0,0,6644,1.467917
103417,1.47625,31.337223,0,0,0,0,0,0,-128,0,0,0,75,-128,1.47625
41,1.483333,22.491945,1.2,0.3,16,6597,4.21,2.4,6594,250,3,25,75,6594,1.483333
102742,1.50625,30.133612,0.49,0.28,15.8,0,1.6,2.3,12481,374,21,7.9,75,12481,1.50625
100037,1.51125,27.348333,0.82,0.6,16.3,0,1.22,2.1,3182,63,1,16.5,75,3182,1.51125
102556,1.535833,26.111944,0.4,0.2,16,7288,0,0,7300,0,0,0,78,7300,1.535833
100941,1.538333,28.314999,0.68,0.16,16.1,10905,0.82,2.4,10955,154,8,6.3,75,10955,1.538333
104301,1.569167,33.499722,0.5,0.25,17.5,0,0,0,7500,0,0,0,78,7500,1.569167
100767,1.570833,25.369444,0.6,0.1,17,0,0.9,2.4,10274,244,37,5.3,75,10274,1.570833
100942,1.57625,35.189445,0,0,0,13970,0,0,0,0,0,0,0,13970,1.57625
100943,1.577917,35.767498,0,0,0,13963,0,0,0,0,0,0,0,13963,1.577917
100039,1.58125,20.202778,0.3,0.3,14,7730,0,0.9,7757,0,0,0,-1,7730,1.58125
103304,1.582083,23.755833,0.4,0.2,16.8,0,1.29,2.7,7771,255,6,6.8,75,7771,1.582083
100890,1.595,23.788889,0.8,0.2,16,4574,2.61,2.5,4589,212,2,16.1,75,4589,1.595
102557,1.605833,27.91111,0.3,0.1,17,0,1.75,2.2,7527,272,30,10.6,75,7527,1.605833
104576,1.649167,33.090275,0.6,0.4,16.5,0,2.21,2.3,4885,173,7,16.4,75,4885,1.649167
48,1.655417,47.876942,2.1,1.9,16,4322,12.71,9.6,4312,83,31,16.4,56,4312,1.655417
50,1.667083,26.153889,1,0.3,14.9,7552,2.92,2,7556,401,14,16,75,7556,1.667083
104577,1.685833,33.149445,0.4,0.25,17.2,0,1.67,2.4,4845,125,5,13.7,75,4845,1.685833
102622,1.715,24.225,0.1,0.1,18,0,3.38,2.1,10252,156,23,28.2,75,10252,1.715
54,1.72375,41.740276,1.2,0.1,17,0,0,0,4247,0,0,0,66,4247,1.72375
55,1.745833,46.637501,1.2,0.9,17,2515,2.4,0,5138,131,32,3.5,36,5138,1.745833
104306,1.762917,34.234722,0.4,0.25,17.2,0,0,0,10300,0,0,0,78,10300,1.762917
102949,1.76375,28.869722,0.4,0.2,17.1,0,0,0,6900,0,0,0,78,6900,1.76375
102558,1.769583,27.024445,0.25,0.15,18,0,0.45,2,2963,48,2,7.3,75,2963,1.769583
100043,1.7775,35.818333,0.8,0.7,15.6,0,2.7,1.8,11930,276,7,20.5,75,11930,1.7775
104682,1.797917,20.547777,0.5,0.22,16.5,0,0.91,2.5,10554,176,8,6.1,75,10554,1.797917
104307,1.800833,29.513334,0.3,0.12,18.5,0,0,0,8900,0,0,0,78,8900,1.800833
100944,1.815,28.351667,0.4,0.2,16,12092,1.6,2.2,12041,283,13,9.7,75,12041,1.815
57,1.81625,27.707779,1.8,1.2,13.4,4548,11.21,2.2,4550,318,1,63.3,75,4550,1.81625
103305,1.82125,22.397223,0.25,0.2,17.5,0,0.69,2.1,10503,50,3,10.4,75,10503,1.82125
59,1.82125,27.677776,1.1,0.7,14.8,7366,2.23,2.2,7559,381,0,11.5,75,7559,1.82125
104309,1.821667,30.369167,0.2,0.14,18.5,0,0,0,4600,0,0,0,78,4600,1.821667
102623,1.822917,25.086945,0.3,0.15,17,0,1.56,2,10896,182,20,12.6,75,10896,1.822917
102743,1.830417,31.304443,0.4,0.08,16.5,0,1.65,2.3,12987,318,54,8.9,75,12987,1.830417
60,1.83125,32.608887,1.8,0.35,13.4,5072,6.69,1.9,5076,470,5,33.2,75,5076,1.83125
