AGCNr,Name,RAdeg_HI,Decdeg_HI,RAdeg_OC,DECdeg_OC,Vhelio,W50,errW50,HIflux,errflux,SNR,RMS,Dist,logMsun,HIcode,useradeg,usedecdeg,wrapradeg
102564,        ,2.705,26.435,2.705,26.43361,11720,313,3,2.67,0.11,13.8,2.44,162.6,10.22,1,2.705,26.43361,2.705
101,478-037a,2.73208,25.56278,2.7375,25.56,10230,471,25,3.97,0.1,19.4,1.94,141.3,10.27,1,2.7375,25.56,2.7375
103309,        ,2.75167,22.40361,2.75167,22.40361,1766,183,4,1.57,0.07,11.4,2.26,25,8.36,1,2.75167,22.40361,2.75167
102,499-069 ,2.75458,30.055,2.75458,30.05194,6788,361,4,1.75,0.1,9.2,2.23,92.3,9.55,1,2.75458,30.05194,2.75458
104531,        ,2.76042,35.84583,2.75333,35.8475,14234,296,4,1.45,0.09,9.1,2.05,198.9,10.13,1,2.75333,35.8475,2.75333
103310,        ,2.785,23.97306,2.7775,23.97083,7645,169,7,0.87,0.07,6.6,2.27,104.3,9.35,1,2.7775,23.97083,2.7775
102748,        ,2.79042,29.90556,2.79292,29.91028,12998,290,51,1.13,0.09,6.6,2.26,181,9.94,1,2.79292,29.91028,2.79292
100073,499-070 ,2.79958,29.08583,2.79625,29.08389,8120,246,8,1.72,0.1,9.6,2.54,111.3,9.7,1,2.79625,29.08389,2.79625
102629,        ,2.81083,24.70361,2.79875,24.705,14827,441,74,2.15,0.17,6.9,3.17,206.9,10.34,1,2.79875,24.705,2.79875
102565,        ,2.81417,26.90167,2.82208,26.90055,11804,286,7,1.17,0.09,7.4,2.11,163.8,9.87,1,2.82208,26.90055,2.82208
105,499-071 ,2.81583,28.89889,2.80958,28.90639,8055,250,22,1.97,0.1,10.9,2.55,110.3,9.75,1,2.80958,28.90639,2.80958
104327,        ,2.8325,35.53361,2.82292,35.52917,5008,48,8,0.52,0.04,9.2,1.79,70.8,8.79,1,2.82292,35.52917,2.82292
102903,        ,2.85292,29.26889,2.85042,29.27139,7877,49,19,0.61,0.05,8.7,2.2,107.8,9.22,1,2.85042,29.27139,2.85042
101105,        ,2.86208,27.78667,2.86583,27.79028,7394,308,6,1.85,0.1,10,2.36,100.9,9.65,1,2.86583,27.79028,2.86583
103312,M+401036,2.89292,22.0275,2.89,22.02583,7579,34,6,2.43,0.04,41.2,2.19,103.3,9.79,1,2.89,22.02583,2.89
102682,        ,2.89667,25.56833,2.90542,25.55944,10474,175,7,0.81,0.06,7.3,1.89,144.8,9.6,1,2.90542,25.55944,2.90542
102749,        ,2.90833,30.29,2.90583,30.29083,4612,119,5,0.84,0.06,8,2.14,65,8.92,1,2.90583,30.29083,2.90583
107,        ,2.91625,27.96861,2.90875,27.94778,7437,389,7,1.59,0.1,8.5,2.12,101.5,9.59,1,2.90875,27.94778,2.90875
108,499-072 ,2.92833,28.48889,2.93792,28.49889,7912,176,34,0.92,0.08,6,2.57,108.3,9.41,2,2.93792,28.49889,2.93792
104532,        ,2.96958,35.67889,2.95583,35.67778,4966,63,9,0.51,0.04,7.8,1.82,70.2,8.77,1,2.95583,35.67778,2.95583
