optvel, fluxJy
2946.327517,-0.004226
2951.582249,-0.001406
2956.837164,0.000016
2962.092261,-0.000669
2967.347541,-0.000955
2972.603003,-0.001394
2977.858648,-0.001318
2983.114475,-0.000184
2988.370484,0.001213
2993.626676,0.001087
2998.883051,-0.000646
3004.139608,-0.001177
3009.396348,-0.001667
3014.653270,0.000051
3019.910374,0.002408
3025.167661,0.000085
3030.425131,-0.001905
3035.682783,-0.000511
3040.940618,0.002653
3046.198636,0.002586
3051.456836,-0.000889
3056.715218,-0.001911
3061.973783,-0.000380
3067.232531,0.000436
3072.491462,0.000715
3077.750575,0.002394
3083.009871,0.003353
3088.269349,0.000769
3093.529010,-0.003559
3098.788854,-0.005471
3104.048880,-0.004563
3109.309089,-0.001448
3114.569481,0.000795
3119.830056,0.000296
3125.090813,-0.000119
3130.351753,-0.000865
3135.612876,-0.001250
3140.874181,-0.000087
3146.135670,0.000884
3151.397341,0.002515
3156.659194,0.002754
3161.921231,0.001354
3167.183450,0.001681
3172.445853,0.001320
3177.708438,-0.000750
3182.971206,-0.000849
3188.234156,-0.000732
3193.497290,-0.001035
3198.760606,-0.000519
3204.024105,-0.000852
3209.287788,-0.000816
3214.551653,-0.000404
3219.815701,-0.001451
3225.079931,-0.000195
3230.344345,0.003118
3235.608942,0.001791
3240.873721,-0.002777
3246.138684,-0.005065
3251.403829,-0.003507
3256.669158,0.000426
3261.934669,0.001145
3267.200364,-0.001352
3272.466241,-0.004560
3277.732302,-0.005019
3282.998545,-0.002067
3288.264971,-0.000748
3293.531581,0.000120
3298.798373,0.000804
3304.065349,-0.000359
3309.332508,0.001600
3314.599849,0.004370
3319.867374,0.004261
3325.135082,0.001598
3330.402973,0.000708
3335.671047,0.002316
3340.939304,0.001592
3346.207744,0.000791
3351.476368,0.003263
3356.745174,0.003044
3362.014164,0.000092
3367.283337,0.001447
3372.552693,0.002590
3377.822232,0.000502
3383.091954,0.000518
3388.361860,0.000798
3393.631949,0.001571
3398.902221,0.003540
3404.172676,0.001643
3409.443315,-0.001246
3414.714136,-0.002624
3419.985141,-0.002871
3425.256330,-0.000830
3430.527701,-0.000149
3435.799256,-0.000427
3441.070994,0.000283
3446.342915,0.000580
3451.615020,0.000127
3456.887308,0.000565
3462.159780,0.002448
3467.432435,0.002558
3472.705273,0.003117
3477.978294,0.002202
3483.251499,-0.001339
3488.524887,-0.001761
3493.798459,-0.001002
